"","vazaoMedia","vazaoAtual","milimitroHora","milimitroDia","milimitroSeteDias","temperatura","velocidadeVento","costa","cidade","vegetacao","montanha","solo","notas","alagou"
"38",97971,119916,0,11,320,28,28,"True","False","False","False","Argiloso",NA,"False"
"39",141595,147065,0,36,112,27,15,"False","False","True","False","Humífero",NA,"False"
"40",57382,76610,0,28,79,31,37,"True","True","False","False","Arenoso",NA,"False"
"41",77204,77842,0,25,185,1,18,"False","True","True","False","Argiloso",NA,"False"
"42",79518,78551,0,13,14,25,7,"True","False","False","False","Arenoso","Historicamente alagavel","False"
"43",30068,24899,30,15,125,22,42,"False","False","False","False","Arenoso","Queimada Recente","False"
"44",78315,60507,0,11,138,30,39,"False","False","True","True","Arenoso","Mare alta","False"
"45",49902,43388,0,5,46,22,33,"False","False","True","False","Arenoso",NA,"False"
"46",18716,21353,12,45,420,28,24,"True","False","True","False","Argiloso","Queimada Recente","False"
"47",39313,48358,46,35,112,22,70,"False","False","True","True","Arenoso",NA,"False"
"48",62995,72479,58,6,351,21,36,"False","False","True","False","Arenoso",NA,"False"
"49",35436,58929,13,52,126,-1,89,"False","False","True","True","Humífero",NA,"True"
"50",39810,38945,0,8,413,26,30,"False","True","False","False","Arenoso",NA,"True"
"51",39592,65397,0,69,133,10,8,"True","False","False","False","Arenoso","Mare alta","True"
"52",34472,39435,0,62,218,15,6,"False","False","True","False","humífero",NA,"False"
"53",25208,38980,22,72,117,23,91,"False","False","True","True","Argiloso","Queimada Recente","True"
"54",72928,63731,0,0,276,25,8,"True","False","True","False","Argiloso",NA,"False"
"55",65026,51824,26,46,238,25,60,"True","True","False","False","Arenoso",NA,"False"
"56",44503,55298,4,99,363,37,17,"False","False","True","True","humífero",NA,"True"
"57",68619,38585,19,28,121,24,43,"True","False","True","False","Arenoso",NA,"False"
"58",19201,13862,6,0,66,37,25,"False","True","False","False","Argiloso",NA,"False"
"59",96299,88876,0,22,62,31,8,"True","False","False","False","Argiloso",NA,"False"
"60",77949,88073,41,3,86,14,48,"True","False","True","True","Arenoso",NA,"False"
"61",107735,167559,0,41,299,21,6,"True","True","True","True","Arenoso",NA,"True"
"62",88290,125995,38,24,40,30,88,"False","True","True","False","Argiloso",NA,"False"
"63",73459,59069,15,11,239,10,40,"False","False","True","False","humífero",NA,"False"
"64",59227,54859,0,15,80,30,10,"True","True","True","True","Arenoso",NA,"False"
"65",55885,68856,6,19,235,20,33,"True","True","True","False","Arenoso",NA,"False"
"66",57289,37508,6,25,22,32,19,"False","False","True","False","Arenoso",NA,"False"
"67",17993,21049,7,5,96,13,12,"False","True","True","False","Arenoso",NA,"False"
"68",114816,139291,0,4,38,10,6,"False","False","True","False","Arenoso",NA,"False"
"69",68548,46854,0,51,236,23,18,"True","True","True","False","humífero",NA,"False"
"70",106584,102013,0,43,329,28,27,"True","False","True","False","Arenoso",NA,"False"
"71",25633,23022,0,92,69,22,16,"False","False","False","True","Arenoso",NA,"False"
"72",54416,56946,4,75,31,26,15,"False","False","True","True","Argiloso",NA,"False"
"73",40779,72391,25,54,145,7,65,"True","False","False","False","Arenoso",NA,"True"
"74",58849,57444,17,7,295,30,25,"True","False","False","False","Argiloso",NA,"False"
"75",102146,125560,28,27,175,18,34,"False","True","True","False","Arenoso",NA,"False"
"76",63603,57221,3,15,115,13,15,"True","False","False","False","Argiloso",NA,"False"
"77",120574,143437,10,23,444,24,58,"False","False","True","False","Arenoso",NA,"False"
"78",78775,100071,8,57,200,7,4,"True","True","False","False","Arenoso",NA,"False"
"79",38009,52452,23,48,86,16,23,"False","False","True","True","Argiloso",NA,"False"
"80",119293,105756,0,4,400,30,20,"False","False","True","False","Arenoso",NA,"False"
"81",159711,114721,0,2,171,17,22,"False","False","False","True","Argiloso",NA,"False"
"82",59496,66513,0,14,372,5,6,"False","False","False","True","Arenoso",NA,"False"
"83",21155,21036,0,2,241,27,9,"True","True","False","False","Arenoso",NA,"False"
"84",18833,20531,40,66,77,31,37,"True","False","True","True","Arenoso",NA,"True"
"85",128723,195506,0,19,41,11,19,"True","False","True","False","Argiloso",NA,"True"
"86",6323,7735,0,17,67,4,1,"False","True","True","True","Argiloso",NA,"False"
"87",92314,95987,29,23,240,7,39,"False","False","True","False","Arenoso",NA,"False"
"88",41331,75993,45,49,189,27,34,"True","False","True","False","Argiloso",NA,"True"
"89",26782,19376,42,23,58,24,49,"True","False","False","False","Argiloso",NA,"False"
"90",21726,17074,0,13,228,13,34,"False","False","True","False","Arenoso",NA,"False"
"91",41006,75748,0,6,58,27,9,"False","True","False","True","Arenoso","Queimada Recente","True"
"92",118368,165531,21,5,196,23,51,"False","False","True","False","Argiloso",NA,"False"
"93",14993,15564,9,5,3,26,17,"False","True","False","False","Arenoso",NA,"False"
"94",13960,14277,18,75,166,30,56,"False","True","False","True","Arenoso",NA,"False"
"95",51121,36720,0,20,131,36,4,"False","True","True","False","Argiloso",NA,"False"
"96",41523,25926,20,25,211,35,33,"True","False","False","False","Arenoso",NA,"False"
"97",64296,57245,36,25,158,29,54,"False","True","False","False","Argiloso",NA,"False"
"98",56649,59239,8,35,21,1,5,"False","False","True","False","Humífero","Historicamente alagavel","False"
"99",22175,25553,20,36,127,19,61,"False","False","True","False","Argiloso","Mare alta","False"
"100",29522,33866,26,22,79,21,50,"False","True","False","True","Arenoso",NA,"True"
"101",103897,102889,11,30,357,14,42,"False","False","True","False","Arenoso",NA,"False"
"102",44044,28742,14,91,396,20,70,"False","False","False","True","Argiloso",NA,"False"
"103",37534,20543,19,38,187,14,62,"False","False","True","False","Argiloso","Queimada Recente","False"
"104",45642,56229,9,71,149,-1,33,"False","False","True","True","Arenoso",NA,"False"
"105",72945,62596,0,6,164,21,19,"False","True","True","False","humífero",NA,"False"
"106",53217,74186,0,9,70,32,10,"False","True","True","False","Humífero",NA,"False"
"107",117177,123041,0,12,71,21,15,"False","True","True","False","Humífero",NA,"False"
"108",55299,80369,0,21,139,24,33,"True","False","True","False","Arenoso",NA,"False"
"109",106255,87534,0,13,8,17,11,"False","False","True","False","Arenoso",NA,"False"
"110",117770,108053,36,2,126,4,31,"False","False","False","True","Humífero",NA,"False"
"111",150773,110083,16,15,269,10,51,"False","False","True","False","Argiloso",NA,"False"
"112",27160,26977,44,12,102,19,38,"False","False","True","True","Arenoso",NA,"False"
"113",128493,149017,46,40,139,26,59,"False","True","False","True","Arenoso",NA,"True"
"114",111726,200886,0,52,372,17,5,"False","False","False","False","Argiloso","Mare alta","True"
"115",78868,110886,36,49,332,21,21,"False","False","True","False","Humífero",NA,"False"
"116",128680,127417,31,6,391,9,33,"False","True","True","True","Arenoso",NA,"False"
"117",73054,98603,39,49,50,22,45,"True","True","False","False","Argiloso",NA,"False"
"118",107881,118795,0,9,194,17,13,"False","False","False","False","Arenoso","Historicamente alagavel","False"
"119",75163,68938,0,53,21,8,14,"False","False","True","True","Arenoso",NA,"False"
"120",108673,111138,26,23,224,7,30,"False","True","True","True","Argiloso","Queimada Recente","False"
"121",23809,20403,38,9,6,21,32,"False","True","True","False","Argiloso",NA,"False"
"122",42492,36747,0,10,209,20,12,"False","False","True","True","Argiloso",NA,"False"
"123",63509,110656,0,50,21,11,16,"True","False","True","True","Argiloso",NA,"True"
"124",114523,156997,0,23,154,16,20,"False","True","True","True","Arenoso",NA,"False"
"125",16091,14906,9,26,18,19,9,"False","False","False","False","Argiloso","Queimada Recente","False"
"126",3323,4238,54,79,98,30,46,"False","False","True","False","Argiloso",NA,"True"
"127",148844,156895,0,59,358,16,12,"False","False","True","False","Argiloso",NA,"False"
"128",139294,82704,20,56,123,33,27,"False","False","True","False","Arenoso",NA,"False"
"129",4935,6559,0,39,20,12,17,"False","False","True","False","Argiloso",NA,"False"
"130",63693,60759,0,20,139,14,30,"False","True","False","False","Arenoso","Queimada Recente","False"
"131",53396,70167,0,11,135,36,22,"False","False","True","True","Humífero",NA,"True"
"132",121917,177505,0,26,55,15,18,"False","False","True","False","Arenoso",NA,"False"
"133",69747,120104,11,50,207,2,82,"False","False","False","False","Arenoso",NA,"True"
"134",62820,91111,0,33,384,28,5,"True","True","True","True","Arenoso",NA,"False"
"135",97022,186447,5,49,121,22,12,"False","False","True","False","Arenoso",NA,"True"
"136",97146,103280,0,50,124,23,5,"True","False","True","False","Arenoso",NA,"False"
"137",75519,116985,20,26,368,33,23,"False","False","True","True","Argiloso","Mare alta","True"
"138",6042,4636,0,40,57,21,35,"False","True","True","True","Argiloso","Queimada Recente","False"
"139",181790,229200,20,33,479,21,63,"True","False","False","False","Arenoso",NA,"False"
"140",165497,249683,49,20,104,18,61,"True","False","False","False","Argiloso",NA,"True"
"141",24810,42292,0,17,147,9,14,"True","False","False","True","Humífero",NA,"True"
"142",122355,85750,0,49,201,4,27,"False","False","True","False","Arenoso",NA,"False"
"143",56851,66739,15,16,69,8,90,"True","True","False","False","Argiloso",NA,"False"
"144",129041,227917,10,18,170,26,47,"False","False","True","False","Argiloso",NA,"True"
"145",120690,128511,11,71,42,20,29,"True","True","False","True","Arenoso",NA,"False"
"146",6028,9887,0,65,38,13,15,"True","False","True","True","Humífero",NA,"True"
"147",13410,22583,0,47,52,14,13,"False","False","True","False","Arenoso",NA,"True"
"148",117558,158018,0,2,395,7,25,"True","True","False","False","Arenoso",NA,"False"
"149",165736,219440,0,25,359,12,17,"False","True","False","False","Argiloso",NA,"False"
"150",36593,57267,27,18,292,20,76,"True","True","True","True","Arenoso",NA,"True"
"151",36398,51340,34,3,166,30,27,"False","False","True","True","Humífero",NA,"False"
"152",109292,64295,0,59,14,23,6,"True","False","True","True","Arenoso",NA,"False"
"153",110356,99389,0,54,411,19,38,"True","False","False","True","Argiloso","Historicamente alagavel","False"
"154",63044,101188,0,63,248,20,8,"True","False","True","False","Arenoso",NA,"True"
"155",54734,96315,36,22,133,25,50,"False","False","True","False","Arenoso",NA,"True"
"156",176619,192364,0,10,42,23,13,"False","False","False","True","Arenoso","Historicamente alagavel","False"
"157",19261,25627,0,40,261,17,12,"True","False","True","False","Argiloso",NA,"False"
"158",88728,73249,0,22,50,17,35,"True","True","True","False","Argiloso",NA,"False"
"159",58868,56423,16,0,307,19,20,"False","False","True","True","Arenoso","Queimada Recente","False"
"160",89617,83047,0,65,69,13,8,"False","False","False","True","Arenoso",NA,"False"
"161",63695,63375,11,11,259,29,88,"False","True","False","True","Argiloso",NA,"False"
"162",148065,147756,10,4,104,0,65,"False","False","True","True","humífero",NA,"False"
"163",63944,56290,0,30,38,32,17,"True","False","False","True","Arenoso",NA,"True"
"164",97608,132400,0,15,243,-1,7,"True","False","True","False","Arenoso",NA,"False"
"165",98237,143934,0,24,151,35,23,"True","False","True","False","Arenoso",NA,"False"
"166",31945,34821,0,34,370,28,15,"False","False","False","False","Argiloso",NA,"False"
"167",21329,12347,0,14,410,25,10,"False","False","True","True","Argiloso",NA,"False"
"168",104984,117400,27,42,197,8,71,"False","False","False","True","Argiloso",NA,"False"
"169",26786,30268,0,20,49,35,8,"False","False","True","True","Arenoso",NA,"True"
"170",69605,121778,0,47,212,6,19,"False","False","True","True","Argiloso",NA,"True"
"171",38215,31542,0,41,124,-1,16,"True","True","False","True","Argiloso",NA,"False"
"172",23966,43626,0,1,330,28,23,"False","True","False","True","Arenoso",NA,"True"
"173",107112,162864,24,17,94,21,106,"False","False","True","True","Arenoso",NA,"True"
"174",94632,150948,0,21,131,0,16,"False","True","True","False","Argiloso",NA,"True"
"175",62307,95207,4,11,352,18,16,"True","True","True","True","Arenoso","Mare alta","True"
"176",103652,150779,43,18,68,10,45,"True","True","True","True","Arenoso",NA,"False"
"177",42688,63705,0,12,21,31,38,"True","False","True","False","Arenoso",NA,"False"
"178",15842,18667,0,62,219,27,11,"True","True","True","False","humífero",NA,"False"
"179",121893,117305,15,73,53,22,75,"False","True","False","True","Arenoso",NA,"False"
"180",97095,100486,0,9,137,23,17,"False","False","True","False","Arenoso",NA,"False"
"181",15965,10238,0,29,311,12,4,"True","False","False","True","Arenoso",NA,"False"
"182",7299,6093,14,9,385,33,44,"False","True","False","False","Argiloso",NA,"False"
"183",54401,69743,59,8,356,31,25,"False","False","False","False","humífero","Historicamente alagavel","False"
"184",90581,73492,0,85,122,14,24,"True","False","True","False","Argiloso",NA,"False"
"185",61552,105378,0,4,4,6,15,"False","True","False","False","Arenoso",NA,"True"
"186",30411,17458,58,14,24,10,35,"True","False","True","True","Argiloso",NA,"False"
"187",71569,73337,2,15,119,37,26,"False","False","False","False","Arenoso",NA,"False"
"188",48794,61406,0,23,7,6,8,"True","True","True","True","humífero",NA,"False"
"189",116550,143304,0,52,37,2,23,"True","True","True","False","Argiloso",NA,"False"
"190",67764,65421,33,70,210,22,77,"True","False","True","True","Arenoso",NA,"False"
"191",6510,9624,0,51,109,34,5,"True","True","True","False","Arenoso",NA,"False"
"192",94256,98560,27,4,332,29,53,"False","False","True","False","humífero",NA,"False"
"193",51503,64585,0,12,295,20,14,"True","True","True","False","Argiloso",NA,"False"
"194",143044,235661,25,79,74,0,28,"False","False","False","False","Arenoso",NA,"True"
"195",65443,73820,0,23,116,5,9,"False","True","True","True","Argiloso",NA,"False"
"196",184452,232846,0,51,12,11,9,"False","False","True","False","Arenoso","Queimada Recente","False"
"197",22985,13220,0,31,116,23,10,"False","True","True","False","Argiloso",NA,"False"
"198",26114,29460,0,20,122,18,18,"False","True","True","True","Humífero",NA,"False"
"199",43864,75666,37,5,190,14,42,"False","True","False","False","Arenoso",NA,"True"
"200",110070,156018,16,23,63,16,46,"True","False","True","False","Arenoso",NA,"False"
"201",136593,193300,14,22,310,21,33,"False","False","True","False","Argiloso",NA,"False"
"202",10095,16817,0,6,198,18,3,"False","True","True","False","Argiloso",NA,"True"
"203",16719,23369,0,31,170,26,13,"False","False","True","True","Argiloso",NA,"False"
"204",40976,69020,0,32,262,31,6,"True","True","True","False","Arenoso",NA,"True"
"205",135249,240511,0,5,96,20,10,"False","False","True","False","Arenoso",NA,"True"
"206",4942,6491,0,36,177,2,8,"False","False","True","False","Arenoso",NA,"False"
"207",31679,45110,0,2,282,4,6,"False","False","True","False","Arenoso",NA,"False"
"208",114408,119936,30,47,33,11,43,"False","False","True","False","Humífero",NA,"False"
"209",11314,11905,0,64,257,4,10,"True","True","False","False","Arenoso",NA,"False"
"210",40888,40303,0,16,380,25,17,"False","True","False","False","Argiloso",NA,"False"
"211",158630,192126,0,38,283,27,21,"False","True","False","False","Argiloso",NA,"False"
"212",13277,17393,0,1,176,16,7,"False","False","True","False","Humífero",NA,"False"
"213",142141,254716,0,73,293,1,11,"False","True","True","False","Argiloso","Historicamente alagavel","True"
"214",74883,135659,32,6,121,15,58,"False","True","False","False","Arenoso",NA,"True"
"215",28420,21604,0,7,158,13,13,"False","False","True","True","humífero",NA,"False"
"216",104049,70258,0,32,196,21,8,"True","False","False","False","Arenoso",NA,"False"
"217",48186,49416,48,2,399,4,39,"False","False","True","False","Arenoso",NA,"False"
"218",110487,154703,51,28,126,6,25,"False","False","True","False","Arenoso",NA,"False"
"219",15346,10501,0,29,139,26,6,"True","True","True","True","Arenoso",NA,"False"
"220",38578,48919,0,92,169,11,4,"False","False","True","False","humífero",NA,"False"
"221",69472,71851,0,18,150,30,11,"False","True","False","True","Argiloso","Historicamente alagavel","False"
"222",41304,34298,0,22,335,6,11,"False","True","False","True","Arenoso",NA,"False"
"223",68864,76822,41,57,318,21,46,"True","False","True","False","Argiloso",NA,"False"
"224",5535,7013,55,35,275,27,63,"True","False","True","False","Arenoso",NA,"False"
"225",73174,69478,5,1,253,21,15,"True","False","False","False","Arenoso",NA,"False"
"226",81786,120392,0,3,109,16,8,"True","True","True","False","Arenoso",NA,"False"
"227",56529,69799,42,31,215,12,29,"True","False","True","False","Arenoso",NA,"False"
"228",5112,4981,38,16,302,16,22,"True","False","False","False","Arenoso",NA,"False"
"229",34358,42103,0,13,164,18,19,"False","False","True","False","Argiloso",NA,"False"
"230",10236,16429,50,35,397,33,35,"False","False","True","False","Argiloso",NA,"True"
"231",141791,113657,0,76,27,27,14,"False","True","False","True","Arenoso",NA,"False"
"232",7075,4614,0,2,443,25,2,"True","False","True","False","Humífero",NA,"False"
"233",165171,230925,27,14,285,14,67,"False","False","False","True","Arenoso","Queimada Recente","False"
"234",135176,164126,5,37,100,20,32,"False","False","False","True","Argiloso",NA,"False"
"235",22309,16403,9,30,106,25,8,"False","False","True","False","Argiloso",NA,"False"
"236",18996,23453,0,7,97,21,19,"True","False","False","False","Arenoso",NA,"False"
"237",76433,125576,0,15,245,30,14,"False","True","True","False","Argiloso",NA,"True"
"238",76881,85072,14,51,158,8,31,"False","True","True","False","humífero",NA,"False"
"239",76004,114585,0,75,92,36,9,"True","False","False","False","Arenoso",NA,"True"
"240",49696,42155,0,66,173,22,8,"True","True","False","True","Argiloso",NA,"False"
"241",135409,134755,11,9,43,4,32,"True","False","True","False","Argiloso",NA,"False"
"242",85754,92189,12,41,84,25,32,"True","False","True","True","Arenoso",NA,"False"
"243",33477,37865,0,6,96,25,27,"False","True","True","True","humífero",NA,"False"
"244",29482,29635,0,1,173,26,4,"True","False","True","True","Arenoso",NA,"False"
"245",66942,74982,0,45,145,9,8,"True","False","True","True","Arenoso",NA,"False"
"246",113720,145068,41,65,278,26,28,"False","True","False","True","Humífero",NA,"False"
"247",135913,229869,54,60,147,35,69,"False","False","True","True","Arenoso",NA,"True"
"248",26238,23237,0,14,132,15,12,"False","False","True","False","Arenoso",NA,"False"
"249",29181,44833,0,35,183,26,23,"False","False","True","False","Humífero","Historicamente alagavel","True"
"250",160035,215840,40,4,99,24,74,"False","False","True","False","humífero",NA,"False"
"251",139367,106158,18,70,222,21,37,"False","True","False","False","Argiloso",NA,"False"
"252",106364,103708,0,64,91,27,9,"True","False","False","False","Arenoso","Historicamente alagavel","False"
"253",118618,85280,20,45,21,34,36,"False","True","True","False","Argiloso",NA,"False"
"254",30344,37290,0,42,83,17,3,"False","True","False","True","Argiloso",NA,"False"
"255",33678,29819,12,21,36,14,39,"False","True","False","False","Arenoso",NA,"False"
"256",142746,121349,0,37,282,12,34,"True","False","True","False","Argiloso","Queimada Recente","False"
"257",125686,192312,0,80,23,27,10,"False","False","False","False","Arenoso",NA,"True"
"258",40545,45146,23,12,55,34,49,"True","True","True","False","Arenoso","Mare alta","True"
"259",85389,107909,0,38,201,25,30,"True","False","False","False","Arenoso",NA,"False"
"260",158213,231105,19,52,420,35,24,"True","False","True","False","humífero",NA,"False"
"261",129920,127020,16,57,348,31,77,"False","False","True","False","Arenoso",NA,"False"
"262",28793,34800,0,57,293,16,34,"False","False","True","False","Argiloso",NA,"False"
"263",81204,126484,57,39,351,30,86,"False","True","True","False","Arenoso","Historicamente alagavel","True"
"264",147817,176959,0,43,121,9,23,"False","True","False","False","Arenoso",NA,"False"
"265",41807,37617,10,10,17,13,40,"False","False","True","False","Arenoso","Queimada Recente","False"
"266",148737,119475,23,8,109,33,86,"True","False","False","True","Arenoso","Historicamente alagavel","True"
"267",30518,29497,17,33,410,31,43,"True","False","False","False","Argiloso",NA,"False"
"268",44958,51764,27,4,24,21,42,"False","True","True","False","Arenoso","Queimada Recente","False"
"269",126003,123153,0,40,241,21,3,"True","False","True","False","Arenoso",NA,"False"
"270",70622,63304,32,11,235,21,42,"False","False","True","False","Arenoso",NA,"False"
"271",76255,80587,6,5,30,11,6,"False","False","False","False","Argiloso",NA,"False"
"272",44275,65707,0,49,178,28,9,"True","True","True","False","Arenoso",NA,"False"
"273",35712,49095,11,37,232,2,22,"True","False","True","True","Arenoso",NA,"False"
"274",108112,147190,0,19,224,30,3,"True","False","True","False","Argiloso",NA,"False"
"275",23401,31958,28,7,235,11,35,"False","True","True","False","Arenoso",NA,"False"
"276",29846,27195,0,10,136,22,14,"True","False","False","True","Argiloso",NA,"False"
"277",40963,34471,0,5,23,28,5,"False","True","True","True","Arenoso",NA,"False"
"278",28421,22856,18,21,232,18,100,"True","False","False","False","Arenoso","Queimada Recente","False"
"279",80816,105021,6,28,42,12,5,"False","False","True","False","Argiloso",NA,"False"
"280",38781,61168,49,70,234,5,24,"False","False","True","True","Arenoso",NA,"True"
"281",68699,96434,0,10,162,24,21,"False","True","True","False","Argiloso",NA,"False"
"282",53299,54378,0,22,334,16,18,"False","True","True","False","Argiloso",NA,"False"
"283",186359,244728,13,9,6,38,71,"False","False","False","False","Arenoso",NA,"False"
"284",85198,125983,0,67,188,14,15,"False","False","False","True","Humífero",NA,"False"
"285",61295,89584,15,68,219,21,55,"False","False","True","False","Arenoso",NA,"False"
"286",65252,110540,0,63,22,22,2,"False","False","True","True","Argiloso",NA,"True"
"287",22030,22280,0,49,15,20,33,"False","False","True","True","Argiloso","Historicamente alagavel","False"
"288",141611,160166,11,28,398,25,63,"True","False","True","True","Arenoso",NA,"False"
"289",114754,161088,23,10,164,24,28,"False","False","False","False","Arenoso","Queimada Recente","False"
"290",28211,39529,7,28,77,28,33,"False","False","False","True","Argiloso",NA,"False"
"291",87963,106553,0,59,95,25,29,"False","False","False","False","Humífero",NA,"False"
"292",86385,102293,0,8,56,20,15,"False","True","True","False","Humífero",NA,"False"
"293",67761,78527,0,35,423,21,25,"False","False","True","True","Argiloso","Queimada Recente","False"
"294",5479,7655,18,9,40,10,64,"False","True","True","False","humífero",NA,"False"
"295",36988,35378,1,22,180,13,38,"False","False","True","False","Arenoso","Queimada Recente","False"
"296",148493,115095,0,13,296,15,22,"False","False","True","False","Argiloso",NA,"False"
"297",26418,21427,0,2,316,21,3,"True","True","True","True","Arenoso",NA,"False"
"298",26771,24856,17,23,120,19,53,"False","True","True","False","Argiloso",NA,"False"
"299",11026,10227,13,22,459,38,32,"False","True","True","False","Arenoso",NA,"True"
"300",130353,177445,0,42,27,0,23,"False","False","True","True","Humífero",NA,"False"
"301",138578,144513,8,61,148,25,24,"True","True","True","True","humífero",NA,"False"
"302",13113,25644,0,36,269,12,20,"True","False","False","True","Argiloso","Mare alta","True"
"303",36198,33267,0,37,68,16,21,"False","False","False","True","humífero",NA,"False"
"304",14861,16074,23,5,413,-2,74,"True","False","False","False","Arenoso",NA,"False"
"305",42727,46788,0,32,255,25,23,"False","True","True","True","Arenoso",NA,"False"
"306",73147,103205,0,69,217,24,11,"False","False","True","True","Arenoso",NA,"False"
"307",77283,57309,0,8,231,10,6,"False","False","False","True","Arenoso",NA,"False"
"308",55063,48156,41,3,13,32,21,"True","False","True","False","Arenoso",NA,"False"
"309",13788,16563,8,63,124,18,8,"True","True","False","True","Arenoso",NA,"False"
"310",123735,153992,0,5,17,11,10,"False","True","True","True","Argiloso",NA,"False"
"311",67869,119180,0,54,48,12,6,"False","False","True","False","Arenoso",NA,"True"
"312",62296,73523,0,33,115,10,11,"True","True","False","True","Arenoso",NA,"False"
"313",7741,10787,0,18,122,29,15,"True","True","False","False","humífero",NA,"False"
"314",23104,20085,0,31,358,28,16,"False","False","False","False","Argiloso","Queimada Recente","False"
"315",3854,3365,55,2,250,29,22,"False","False","True","False","Arenoso","Queimada Recente","False"
"316",125516,158779,14,26,190,25,43,"True","True","False","False","Arenoso","Mare alta","True"
"317",27323,42548,0,47,125,15,24,"False","False","False","False","Argiloso",NA,"True"
"318",29161,32531,27,43,77,24,53,"False","False","True","True","Argiloso",NA,"False"
"319",3748,2899,0,73,124,19,5,"False","False","True","True","Argiloso",NA,"False"
"320",164440,158328,19,53,109,9,25,"False","False","True","False","Arenoso",NA,"False"
"321",69456,102076,21,11,93,21,43,"False","True","True","False","Argiloso",NA,"False"
"322",11805,20808,0,9,254,1,29,"False","False","True","False","Argiloso",NA,"True"
"323",83925,141011,17,44,83,21,77,"True","False","False","True","Arenoso",NA,"True"
"324",99581,99106,5,1,106,6,14,"False","False","True","False","Arenoso",NA,"False"
"325",140171,117578,11,8,180,15,34,"False","True","True","True","Arenoso",NA,"False"
"326",16043,24672,0,9,37,11,14,"False","True","True","False","Argiloso",NA,"True"
"327",5092,6670,37,18,14,22,77,"True","False","True","True","Argiloso","Mare alta","True"
"328",135566,115117,10,14,5,32,39,"False","False","True","True","humífero",NA,"True"
"329",23937,47262,0,13,228,26,5,"False","False","False","True","Argiloso",NA,"True"
"330",65524,70281,28,65,207,21,24,"False","False","False","False","humífero",NA,"False"
"331",26417,14631,33,51,208,31,36,"False","False","True","False","Arenoso",NA,"False"
"332",94502,102647,20,19,6,20,62,"False","False","False","False","Arenoso",NA,"False"
"333",19160,29056,0,6,196,13,29,"True","False","False","True","humífero",NA,"True"
"334",89813,86687,58,9,216,24,82,"False","True","True","False","Argiloso",NA,"False"
